district,school_name,project_#,description,fy_constr_start,total
05,P.S. 125 - Manhattan,DSF0000785921,Educational Enhancements - Educational Enhancements - School Improvement and,2014,961718
05,P.S. 154 - Manhattan,DSF0000608871,State of Good Repair - System Replacements - Windows,2010,3463133
05,P.S. 161 - Manhattan,DSF0000674583,State of Good Repair - System Replacements - Paved Area-Concrete,2010,1110763
05,P.S. 161 - Manhattan,DSF0000710242,State of Good Repair - Building Upgrade - Boiler Conversion,2012,2991538
05,P.S. 161 - Manhattan,DSF0000710253,State of Good Repair - Building Upgrade - Climate Control,2012,1353216
05,P.S. 161 - Manhattan,DSF0000740786,State of Good Repair - System Replacements - Electrical Systems,2013,1163824
05,P.S. 175 - Manhattan,DSF0000776014,Educational Enhancements - Educational Enhancements - Room,2014,302540
05,P.S. 175 - Manhattan,DSF0000777282,Educational Enhancements - Educational Enhancements - Room,2014,446203
05,P.S. 175 - Manhattan,DSF0000798167,Educational Enhancements - Educational Enhancements - School Improvement and,2014,135006
05,P.S. 194 - Manhattan,DSF0000609256,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2010,1053556
05,P.S. 194 - Manhattan,DSF0000622529,State of Good Repair - Building Upgrade - Boiler Conversion,2010,5511451
05,P.S. 194 - Manhattan,DSF0000622561,State of Good Repair - Building Upgrade - Climate Control,2010,945584
05,TERENCE D. TOLBERT EDUCATION COMPLEX - Manhattan,DSF0000407496,State of Good Repair - System Replacements - Gymnasium Upgrade,2014,776743
05,TERENCE D. TOLBERT EDUCATION COMPLEX - Manhattan,DSF0000622651,State of Good Repair - Building Upgrade - Boiler Conversion,2011,4144605
05,TERENCE D. TOLBERT EDUCATION COMPLEX - Manhattan,DSF0000674938,State of Good Repair - System Replacements - Paved Area-Blacktop,2011,1007607
05,TERENCE D. TOLBERT EDUCATION COMPLEX - Manhattan,DSF0000688513,State of Good Repair - Building Upgrade - Climate Control,2011,1573095
